image_id,questions,answers
image576,**Question 5:** Are there more than two bottles on the window sill?,"**Answer 5:** Yes, there are more than two bottles on the window sill."
image1013,**Question 1:** How many pictures are on the wall?,**
image1013,**Question 2:** Where is the lamp?,**
image1013,**Question 3:** How many windows are there?,**
image1013,**Question 4:** Are there more than two pillows on the bed?,**
image1013,**Question 5:** What is the position of the basket relative to the nightstand?,**
image867,1.  **,**
image867,2.  **,**
image867,3.  **,**
image867,4.  **,**
image867,5.  **,**
image1070,**Question 1:** Where is the stack of papers?,**
image1070,**Question 2:** How many curtains are visible in the image?,**
image1070,**Question 3:** Is there a bed on the left side of the image?,**
image1070,**Question 4:** What is the position of the teddy bear relative to the wooden dresser?,**
image1070,**Question 5:** Are there more than one pillow on the bed?,**
image110,**Question 1:** Where is the blue recycling bin?,**Answer 1:** The blue recycling bin is next to the large white column.
image110,**Question 2:** How many bookshelves are visible?,**Answer 2:** I can see at least 7 bookshelves that are fully or partially visible.
image110,**Question 3:** Is there a stack of books on the floor near the white column?,"**Answer 3:** Yes, there is a stack of books on the floor near the white column."
image110,**Question 4:** What is the position of the shopping cart relative to the stacks of books on the counter?,**Answer 4:** The shopping cart is to the right of the stacks of books on the counter.
image110,**Question 5:** Are there more than 3 brown boxes in the image?,"**Answer 5:** Yes, there are more than 3 brown boxes in the image. I can see at least 4, possibly more partially hidden."
image1001,**Question 1:** Where is the teddy bear with the red boxing gloves?,**
image1001,**Question 2:** How many speakers are on top of the shelf?,**
image1001,**Question 3:** Is there a picture frame near the curtain?,**
image1001,**Question 4:** What is the position of the shelf relative to the chair with the teddy bear?,**
image1001,**Question 5:** Are there more than two stuffed animals on the chair?,**
image1031,**Questions:**,**Answers:**
image612,**Question 1:** Where is the monitor?,"**Answer 1:** The monitor is on the desk, on the left side of the image."
image612,**Question 2:** How many cabinets are there?,**Answer 2:** There are at least 5 cabinets in the image.
image612,**Question 3:** Is there a trash can in the image?,"**Answer 3:** Yes, there is a trash can under the desk on the bottom left."
image612,**Question 4:** What is the position of the printer relative to the cabinets?,**Answer 4:** The printer is to the left of the cabinets.
image612,**Question 5:** Are there more than 2 frames on the wall?,"**Answer 5:** Yes, there are more than 2 frames on the wall."
image1033,**Question 1:** Where is the water bottle?,**
image1033,**Question 2:** How many pillows are on the bed?,**
image1033,**Question 3:** Is there a lamp on the nightstand?,**
image1033,**Question 4:** What is the position of the nightstand relative to the bed?,**
image1033,**Question 5:** Are there more than one blanket on the bed?,**
image488,**Question 1:** Where is the lamp located?,**Answer 1:** The lamp is located on a wooden table to the left of the couch.
image488,**Question 2:** How many pillows are on the couch?,**Answer 2:** There is one pillow on the couch.
image488,**Question 3:** Is there artwork on the wall?,"**Answer 3:** Yes, there is artwork on the wall above the couch."
image488,**Question 4:** What is the position of the table relative to the couch?,**Answer 4:** The table is to the left of the couch.
image488,**Question 5:** Are there more than one flower pots in the image?,"**Answer 5:** No, there is only one flower pot in the image."
image467,**Questions:**,**Answers:**
image79,**Question 1:** Where is the lamp?,**Answer 1:** The lamp is on the nightstand to the left of the bed.
image79,**Question 2:** How many drawers does the nightstand on the right side of the bed have?,**Answer 2:** The nightstand on the right side of the bed has two drawers.
image79,**Question 3:** Is there a laptop on the nightstand to the right side of the bed?,"**Answer 3:** Yes, there is a laptop on the nightstand to the right side of the bed."
image79,**Question 4:** What is the position of the bed relative to the headboard?,**Answer 4:** The bed is positioned against the headboard.
image79,**Question 5:** Are there more than 1 pillows on the bed?,"**Answer 5:** Yes, there are more than 1 pillows on the bed."
image565,**Question 1:** How many placemats are on the table?,**
image565,**Question 2:** Where is the fruit bowl located?,**
image565,**Question 3:** What is on top of the refrigerator?,**
image565,**Question 4:** How many chairs are visible in the image?,**
image565,**Question 5:** Is there a picture hanging on the wall?,**
image1271,1.  **,**
image1271,2.  **,**
image1271,3.  **,**
image1271,4.  **,**
image1271,5.  **,**
image1110,**Questions:**,**Answers:**
image144,**Question 1:** Where is the microwave?,**Answer 1:** The microwave is above the stove.
image144,**Question 2:** How many plates are on the shelf by the window?,"**Answer 2:** There is at least one plate visible on the shelf by the window, possibly a stack."
image144,**Question 3:** Is there a sink on the countertop?,"**Answer 3:** Yes, there is a sink on the countertop."
image144,**Question 4:** What is the position of the bag relative to the deep fryer?,**Answer 4:** The bag is to the left of the deep fryer.
image144,**Question 5:** Are there more than two cabinet doors in the image?,"**Answer 5:** Yes, there are more than two cabinet doors in the image."
image1404,**Question 1:** How many chairs are around the table?,**
image1404,**Question 2:** Where is the vase with plants?,**
image1404,**Question 3:** Is there a mirror on the wall?,**
image1404,**Question 4:** What is the position of the painting relative to the vase?,**
image1404,**Question 5:** Are there more than 5 chairs on the right side of the table?,**
image557,1.  **,**
image557,2.  **,**
image557,3.  **,**
image557,4.  **,**
image557,5.  **,**
image506,**Question 1:** Where are the magazines located?,**Answer 1:** The magazines are located on top of a shelf next to the toilet.
image506,**Question 2:** How many magazines are visible?,**Answer 2:** At least three magazines are visible.
image506,**Question 3:** Is there a basket in the image?,"**Answer 3:** Yes, there is a basket to the right of the toilet."
image506,**Question 4:** What is the position of the toilet relative to the door?,**Answer 4:** The toilet is to the right of the door.
image506,**Question 5:** Are there more than one tissue box in the image?,**Answer 5:** It looks like there is only one tissue box in the image.
image680,**Question 1:** Where is the shower?,**
image680,**Question 2:** How many faucets are on the sink?,**
image680,**Question 3:** Is there a toilet next to the sink?,**
image680,**Question 4:** What is the position of the bottle relative to the mirror?,**
image680,**Question 5:** Are there more than two sinks in the image?,**
image1420,1.  **,**
image1420,2.  **,**
image1420,3.  **,**
image1420,4.  **,**
image1420,5.  **,**
image588,**Question 1:** Where is the lamp located?,**
image588,**Question 2:** How many paintings are on the wall?,**
image588,**Question 3:** Is there a person on the couch?,**
image588,**Question 4:** What is the position of the coffee table relative to the couch?,**
image588,**Question 5:** Are there more than one lamps in the image?,**
image1217,**Questions:**,**Answers:**
image10,**Questions:**,**Answers:**
image1392,**Questions:**,**Answers:**
image705,**Questions:**,**Answers:**
image1311,**Question 1:** Where is the remote?,**Answer 1:** The remote is on the couch.
image1311,**Question 2:** How many chairs are visible in the image?,**Answer 2:** There are at least two chairs visible in the background.
image1311,**Question 3:** Is there a trash can near the window?,"**Answer 3:** Yes, there is a trash can near the window."
image1311,**Question 4:** What is the position of the couch relative to the wall?,**Answer 4:** The couch is in front of the wall.
image1311,**Question 5:** Are there more than two cushions on the couch?,"**Answer 5:** Yes, there are more than two cushions on the couch."
image379,**Question 1:** Where is the ottoman?,"**Answer 1:** The ottoman is in the center of the room, in front of the chair."
image379,**Question 2:** How many chairs are visible?,**Answer 2:** There are 2 chairs visible in the image.
image379,**Question 3:** Is there a lamp on the side table?,"**Answer 3:** Yes, there is a lamp on the side table."
image379,**Question 4:** What is the position of the desk relative to the chair?,**Answer 4:** The desk is behind the chair.
image379,**Question 5:** Are there more than 5 pieces of paper on the ottoman?,"**Answer 5:** Yes, there are more than 5 pieces of paper on the ottoman."
image980,**Question 1:** Where is the lamp?,**
image980,**Question 2:** How many pillows are on the bed?,**
image980,**Question 3:** Is there a keyboard near the window?,**
image980,**Question 4:** What is the position of the TV relative to the bed?,**
image980,**Question 5:** Are there more than one objects stacked on the keyboard?,**
image212,**Question 1:** Where is the woven basket?,**
image212,**Question 2:** How many shelves are there on the metal rack?,**
image212,**Question 3:** Is there a blue bag on the bottom shelf of the metal rack?,**
image212,**Question 4:** What is the position of the metal rack relative to the door?,**
image212,**Question 5:** Are there more than 3 containers on the third shelf of the metal rack?,**
image531,**Question 1:** Where is the tall white lamp?,**Answer 1:** The tall white lamp is located next to the desk and dresser.
image531,**Question 2:** How many drawers are visible on the dresser?,**Answer 2:** There are three drawers visible on the dresser.
image531,**Question 3:** Is there a phone on top of the dresser?,"**Answer 3:** Yes, there is a phone on top of the dresser."
image531,**Question 4:** What is the position of the desk chair relative to the desk?,**Answer 4:** The desk chair is in front of the desk.
image531,**Question 5:** Are there more than 1 piece of clothing on the floor?,"**Answer 5:** Yes, there are more than 1 piece of clothing on the floor."
image1336,**Question 1:** Where is the bookcase?,**Answer 1:** The bookcase is in the background on the left.
image1336,**Question 2:** How many chairs are visible?,**Answer 2:** Two chairs are visible.
image1336,**Question 3:** Is there a fan on the ceiling?,"**Answer 3:** Yes, there is a fan on the ceiling."
image1336,**Question 4:** What is the position of the fan relative to the counter?,**Answer 4:** The fan is above the counter.
image1336,**Question 5:** Are there more than one pillows on the sofa?,"**Answer 5:** Yes, there are more than one pillows on the sofa."
image660,**Questions:**,**Answers:**
image559,1.  **,**
image559,2.  **,**
image559,3.  **,**
image559,4.  **,**
image559,5.  **,**
image37,**Questions:**,**Answers:**
image30,**Question 1:** How many computer towers are there on the desk?,**
image30,**Question 2:** Where is the chair located?,**
image30,**Question 3:** Is there a water bottle on the desk?,**
image30,**Question 4:** What is the position of the telephone relative to the monitor?,**
image30,**Question 5:** Are there more than one door in the image?,**
image495,1.  **,**
image495,2.  **,**
image495,3.  **,**
image495,4.  **,**
image495,5.  **,**
image852,1.,
image852,2.,
image852,3.,
image852,4.,
image852,5.,
image1170,**Question 1:** Where is the monitor?,"**Answer 1:** The monitor is on the desk, to the left."
image1170,**Question 2:** How many bookcases are there?,**Answer 2:** There are two bookcases.
image1170,**Question 3:** Is there a blanket on the chair?,"**Answer 3:** Yes, there is a blanket on the chair."
image1170,**Question 4:** What is on top of the tallest bookcase?,**Answer 4:** A set of horns is on top of the tallest bookcase.
image1170,**Question 5:** Are there more than 10 books in the taller bookcase?,"**Answer 5:** Yes, there are more than 10 books in the taller bookcase."
image1047,**Questions:**,**Answers:**
image1217,**Questions:**,**Answers:**
image528,**Question 1:** Where is the water bottle?,"**Answer 1:** The water bottle is on the desk, behind the monitor."
image528,**Question 2:** How many drawers are on the nightstand?,**Answer 2:** There are two drawers on the nightstand.
image528,**Question 3:** Is there a bed in the image?,"**Answer 3:** Yes, there is a bed in the image."
image528,**Question 4:** What is the position of the printer relative to the desk?,"**Answer 4:** The printer is to the left of the desk, on top of the nightstand."
image528,**Question 5:** Are there more than one monitor in the image?,"**Answer 5:** Yes, there are two monitors in the image."
image772,**Question 1:** How many chairs are visible in the image?,**Answer 1:** There are at least three chairs visible in the image.
image772,**Question 2:** Where is the fruit bowl located?,**Answer 2:** The fruit bowl is located on the table.
image772,**Question 3:** Are there more than 4 chairs in the image?,"**Answer 3:** No, there are not more than 4 chairs in the image."
image772,**Question 4:** What is the position of the rug relative to the table?,**Answer 4:** The rug is under the table and chairs.
image772,**Question 5:** Is there a light fixture above the table?,"**Answer 5:** Yes, there is a light fixture above the table."
image65,1.  **,**
image65,2.  **,**
image65,3.  **,**
image65,4.  **,**
image65,5.  **,**
image64,**Question 1:** Where is the pillow?,"**Answer 1:** The pillow is on the bed, against the wall."
image64,**Question 2:** How many visible pillows are there?,**Answer 2:** There is one visible pillow.
image64,**Question 3:** Is there a nightstand next to the bed?,"**Answer 3:** Yes, there is a nightstand next to the bed."
image64,**Question 4:** What is on top of the nightstand?,**Answer 4:** There is a pile of papers and some other small objects on top of the nightstand.
image64,**Question 5:** Are there more than 5 papers visible on the nightstand?,"**Answer 5:** Yes, there are more than 5 papers visible on the nightstand."
image736,**Question 1:** Where are the plants located?,**
image736,**Question 2:** How many towels are in the basket?,**
image736,**Question 3:** Is there a soap dish near the candles?,**
image736,**Question 4:** What is the position of the basket of towels relative to the bathtub?,**
image736,**Question 5:** Are there more than 3 candles in the image?,**
image1099,**Question 1:** Where is the bookshelf?,"**Answer 1:** The bookshelf is on the left side of the image, next to the wall and beside the window."
image1099,**Question 2:** How many beds are there in the image?,**Answer 2:** There is one bed in the image.
image1099,**Question 3:** Is there a waste basket near the bedside table?,"**Answer 3:** Yes, there is a waste basket next to the bedside table on the left side of the image."
image1099,**Question 4:** What is the position of the window relative to the bed?,**Answer 4:** The window is behind the head of the bed.
image1099,**Question 5:** Are there more than 5 shelves in the bookshelf?,"**Answer 5:** Yes, there are more than 5 shelves in the bookshelf."
image1435,**Questions:**,**Answers:**
image780,**Questions:**,**Answers:**
image872,**Question 1:** Where is the microwave located?,**
image872,**Question 2:** How many towels are on the door in the hallway?,**
image872,**Question 3:** Is there a plant on the countertop to the right?,**
image872,**Question 4:** What is the position of the coffeemaker relative to the containers on the right countertop?,**
image872,**Question 5:** Are there more than 1 cabinet above the left countertop?,**
image633,1.  **,**
image633,2.  **,**
image633,3.  **,**
image633,4.  **,**
image633,5.  **,**
image464,**Question 1:** Where is the plant located?,**
image464,**Question 2:** How many lamps are on the table?,**
image464,**Question 3:** Is there a rug on the floor?,**
image464,**Question 4:** What is the position of the ottoman relative to the sofa?,**
image464,**Question 5:** Are there more than one cushion on the sofa?,**
image1161,**Question 1:** Where is the sports cooler?,**Answer 1:** The sports cooler is under the desk.
image1161,**Question 2:** How many soccer balls are on the desk?,**Answer 2:** There are 2 soccer balls on the desk.
image1161,**Question 3:** Is there a lamp on the desk?,"**Answer 3:** Yes, there is a lamp on the desk."
image1161,**Question 4:** What is the position of the baseball bat relative to the picture?,**Answer 4:** The baseball bat is under the picture.
image1161,**Question 5:** Are there more than 3 trophies on the window sill?,"**Answer 5:** Yes, there are more than 3 trophies on the window sill."
image1269,**Question 1:** Where is the chair located?,"**Answer 1:** The chair is located to the right of the small table, and in front of the white shutters."
image1269,**Question 2:** How many framed pictures are visible on the wall?,**Answer 2:** There are two framed pictures visible on the wall.
image1269,**Question 3:** Is there a lamp on the table?,"**Answer 3:** Yes, there is a lamp on the table."
image1269,**Question 4:** What is the position of the table relative to the chair?,**Answer 4:** The table is to the left of the chair.
image1269,**Question 5:** Are there more than one window in the image?,"**Answer 5:** Yes, there are more than one window in the image."
image589,**Question 1:** Where is the bookcase?,**
image589,**Question 2:** How many windows are there?,**
image589,**Question 3:** Is there a rug on the floor?,**
image589,**Question 4:** What is the position of the chair relative to the window?,**
image589,**Question 5:** Are there more than 10 objects on the bookcase?,**
image607,**Question 1:** Where is the pillow?,**Answer 1:** The pillow is on the futon.
image607,**Question 2:** How many shelves are in the white bookcase?,**Answer 2:** There appear to be at least four shelves in the white bookcase.
image607,**Question 3:** Is there a stool near the desk?,"**Answer 3:** Yes, there is a stool near the desk."
image607,**Question 4:** What is the position of the clothes relative to the futon?,**Answer 4:** The clothes are on the futon.
image607,**Question 5:** Are there more than one pillow in the image?,"**Answer 5:** Yes, there are more than one pillow in the image. There appears to be one purple pillow and the futon itself is acting as a large pillow."
image1274,1.  **,**
image1274,2.  **,**
image1274,3.  **,**
image1274,4.  **,**
image1274,5.  **,**
image1208,1.  **,**
image1208,2.  **,**
image1208,3.  **,**
image1208,4.  **,**
image1208,5.  **,**
image1132,**Question 1:** Where is the green bird statue?,**
image1132,**Question 2:** How many exercise bikes are there?,**
image1132,**Question 3:** Is there a television on the table?,**
image1132,**Question 4:** What is the position of the exercise bike relative to the window?,**
image1132,**Question 5:** Are there more than one chair in the image?,**
image661,**Question 1:** Where is the bottle of soap?,**Answer 1:** The bottle of soap is on the countertop to the right of the right sink.
image661,**Question 2:** How many sinks are visible?,**Answer 2:** Two sinks are partially visible.
image661,**Question 3:** Is there a window behind the sinks?,"**Answer 3:** Yes, there is a window with blinds behind the sinks."
image661,**Question 4:** What is the position of the vase relative to the sinks?,"**Answer 4:** The vase is between the two sinks, closer to the left sink."
image661,**Question 5:** Are there more than one towel on the towel rack?,"**Answer 5:** Yes, there are two towels on the towel rack."
image907,1.  **,**
image907,2.  **,**
image907,3.  **,**
image907,4.  **,**
image907,5.  **,**
image443,**Question 1:** Where is the blue toy bin?,**
image443,**Question 2:** How many dollhouses are there in the image?,**
image443,**Question 3:** Is there a rug on the floor?,**
image443,**Question 4:** What is the position of the toy cars relative to the dollhouse?,**
image443,**Question 5:** Are there more than 3 shelves on the toy storage rack?,**
image574,**Question 1:** Where is the roll of paper towels?,**
image574,**Question 2:** How many plates are visible in the dish rack?,**
image574,**Question 3:** Is there a dish soap bottle next to the sink?,**
image574,**Question 4:** What is the position of the dish rack relative to the sink?,**
image574,**Question 5:** Are there more than two cups on the dish rack?,**
image690,1.  **,**
image690,2.  **,**
image690,3.  **,**
image690,4.  **,**
image690,5.  **,**
image1069,1.  **,**
image1069,2.  **,**
image1069,3.  **,**
image1069,4.  **,**
image1069,5.  **,**
image134,1.  **,**
image134,2.  **,**
image134,3.  **,**
image134,4.  **,**
image134,5.  **,**
image292,**Question 1:** How many chairs are around the table in the middle of the image?,**
image292,"**Question 2:** Where is the bulletin board with ""Know the Artist"" written on it?",**
image292,**Question 3:** Are there more than 2 trash cans in the image?,**
image292,**Question 4:** What is the position of the wooden shelf relative to the table in the middle?,**
image292,**Question 5:** Is there a poster on the wall behind the trash can in the left center of the image?,**
image545,**Question 1:** Where are the notebooks located?,**
image545,**Question 2:** How many chairs are visible in the image?,**
image545,**Question 3:** Is there a computer by the window?,**
image545,**Question 4:** What is the position of the salt shaker relative to the books?,**
image545,**Question 5:** Are there more than two papers lying flat on the table?,**
image319,**Questions:**,**Answers:**
image1306,**Question 1:** Where is the red object?,"**Answer 1:** The red object is on the floor, near the doorway."
image1306,**Question 2:** How many doors are visible in the image?,**Answer 2:** There are two doors visible in the image.
image1306,**Question 3:** Is there a table in the back room?,"**Answer 3:** Yes, there is a table in the back room."
image1306,**Question 4:** What is the position of the plate relative to the piano?,**Answer 4:** The plate is on top of the piano.
image1306,**Question 5:** Are there more than 5 books on the shelf?,"**Answer 5:** Yes, there are more than 5 books on the shelf."
image592,**Questions:**,**Answers:**
image605,**Question 1:** Where are the monitors?,**
image605,**Question 2:** How many monitors are there?,**
image605,**Question 3:** Is there a lamp on the desk?,**
image605,**Question 4:** What is the position of the chair relative to the desk?,**
image605,**Question 5:** Are there more than two shelves in the image?,**
image835,**Question 1:** Where is the water cooler?,**Answer 1:** The water cooler is near the wall to the left side of the image.
image835,**Question 2:** How many chairs are visible near the table?,**Answer 2:** There is one chair near the table.
image835,**Question 3:** Is there a bottle on the countertop?,"**Answer 3:** Yes, there are at least two bottles on the countertop."
image835,**Question 4:** What is the position of the kettle relative to the cabinet?,**Answer 4:** The kettle is on the countertop to the left of the cabinet.
image835,**Question 5:** Are there more than one step stools in the image?,"**Answer 5:** Yes, there appears to be one step stool."
image276,**Question 1:** Where are the office chairs located?,**Answer 1:** The office chairs are primarily located around the large conference table and also in the adjacent office area.
image276,**Question 2:** How many lights are visible on the ceiling?,**Answer 2:** There are at least 7 ceiling lights visible in the image.
image276,**Question 3:** Is there a conference table in the room?,"**Answer 3:** Yes, there is a large conference table in the foreground of the room."
image276,**Question 4:** What is the position of the conference table relative to the windows?,**Answer 4:** The conference table is positioned in front of the windows.
image276,**Question 5:** Are there more than 5 chairs in the room?,"**Answer 5:** Yes, there are definitely more than 5 chairs visible in the image."
image771,**Question 1:** Where is the dish rack?,**
image771,**Question 2:** How many sinks are there?,**
image771,**Question 3:** Is there a window above the sink?,**
image771,**Question 4:** What is the position of the faucet relative to the sink?,**
image771,**Question 5:** Are there more than 4 cabinets in the image?,**
image598,**Question 1:** Where is the red couch located?,"**Answer 1:** The red couch is located near the patterned couch, against the wall."
image598,**Question 2:** How many couches are in the image?,**Answer 2:** There are three couches in the image.
image598,**Question 3:** Is there a remote control on the coffee table?,"**Answer 3:** Yes, there are at least one remote control on the coffee table."
image598,**Question 4:** What is the position of the coffee table relative to the patterned couch?,**Answer 4:** The coffee table is in front of the patterned couch.
image598,**Question 5:** Are there more than two cushions on the patterned couch closest to the viewer?,"**Answer 5:** Yes, there are more than two cushions on the patterned couch closest to the viewer."
image588,**Question 1:** Where is the seated man?,**
image588,**Question 2:** How many framed pictures are hanging on the wall?,**
image588,**Question 3:** Is there a lamp on the table next to the chair?,**
image588,"**Question 4:** What is the position of the small, round table relative to the sofa?",**
image588,**Question 5:** Are there more than one lamps in the image?,**
image792,**Questions:**,**Answers:**
image40,**Question 1:** Where is the phone?,**
image40,**Question 2:** How many chairs are visible in the image?,**
image40,**Question 3:** Is there a projector on the ceiling?,**
image40,**Question 4:** What is the position of the light switch relative to the electrical box?,**
image40,**Question 5:** Are there more than two rolls of paper on the table?,**
image652,**Questions:**,**Answers:**
image703,**Question 1:** Where is the trash can?,"**Answer 1:** The trash can is on the floor, to the left of the toilet."
image703,**Question 2:** How many toilet paper rolls are visible?,**Answer 2:** There are three toilet paper rolls visible.
image703,**Question 3:** Is there a towel rack on the wall?,"**Answer 3:** Yes, there is a towel rack on the wall."
image703,**Question 4:** What is the position of the toilet relative to the wall?,**Answer 4:** The toilet is against the wall on the right side of the image.
image703,**Question 5:** Are there more than two drawers visible on the cabinet?,"**Answer 5:** Yes, there are more than two drawers visible on the cabinet."
image1071,1.  **,**
image1071,2.  **,**
image1071,3.  **,**
image1071,4.  **,**
image1071,5.  **,**
image517,**Question 1:** Where are the lamps located?,**
image517,**Question 2:** How many pillows are on the bed?,**
image517,**Question 3:** Is there a bookshelf on the left side of the image?,**
image517,**Question 4:** What is the position of the stack of books relative to the bookshelf?,**
image517,**Question 5:** Are there more than 10 books in the stack on the floor?,**
image1183,**Question 1:** Where is the lamp?,**
image1183,**Question 2:** How many pictures are on the dresser?,**
image1183,**Question 3:** Is there a chair next to the blanket?,**
image1183,**Question 4:** What is the position of the dresser relative to the chair?,**
image1183,**Question 5:** Are there more than 10 objects on top of the dresser?,**
image493,**Questions:**,**Answers:**
image344,**Questions:**,**Answers:**
image436,**Questions:**,**Answers:**
image729,**Question 1:** Where is the towel?,**Answer 1:** The towel is hanging on a towel rack above the countertop.
image729,**Question 2:** How many drawer pulls are visible?,**Answer 2:** There are three drawer pulls visible on the vanity.
image729,**Question 3:** Is there a bathmat in the image?,"**Answer 3:** Yes, there is a bathmat on the floor in front of the shower curtain."
image729,**Question 4:** What is the position of the sink relative to the soap dispenser?,**Answer 4:** The sink is to the left of the soap dispenser.
image729,**Question 5:** Are there more than one towels in the image?,"**Answer 5:** Yes, there are two towels in the image."
image1435,**Question 1:** Where is the plant?,**
image1435,**Question 2:** How many bottles of wine are there?,**
image1435,**Question 3:** Is there a dining table in the image?,**
image1435,**Question 4:** What is the position of the wine cooler relative to the cabinets?,**
image1435,**Question 5:** Are there more than 4 wine glasses in the image?,**
image446,**Questions:**,**Answers:**
image64,**Question 1:** Where is the nightstand?,"**Answer 1:** The nightstand is next to the bed, to the right of the image."
image64,**Question 2:** How many pillows are on the bed?,**Answer 2:** There is at least one pillow visible on the bed.
image64,**Question 3:** Is there a lamp on the nightstand?,"**Answer 3:** It's difficult to say for sure if it is a lamp, but there is a bottle like object on the nightstand."
image64,**Question 4:** What is the position of the bed relative to the wall?,**Answer 4:** The bed is pushed against the wall on the left side of the image.
image64,**Question 5:** Are there more than 5 pieces of paper on the nightstand?,"**Answer 5:** Yes, there appear to be more than 5 pieces of paper on the nightstand."
image129,1.  **,**
image129,2.  **,**
image129,3.  **,**
image129,4.  **,**
image129,5.  **,**
image1019,**Questions:**,**Answers:**
image930,**Question 1:** Where is the fan?,**
image930,**Question 2:** How many pillows are on the bed?,**
image930,**Question 3:** Is there a trash can next to the desk?,**
image930,**Question 4:** What is the position of the chair relative to the desk?,**
image930,**Question 5:** Are there more than two drawers on the desk?,**
image1053,**Questions:**,**Answers:**
image720,**Questions:**,**Answers:**
image829,**Questions:**,**Answers:**
image1390,**Question 1:** Where is the vase of flowers?,**Answer 1:** The vase of flowers is on the dining table.
image1390,**Question 2:** How many pictures are hanging on the wall near the window?,**Answer 2:** There are 4 pictures hanging on the wall near the window.
image1390,**Question 3:** Is there a mirror on the wall in the background?,"**Answer 3:** Yes, there is a mirror on the wall in the background."
image1390,**Question 4:** What is the position of the corner cabinet relative to the dining table?,**Answer 4:** The corner cabinet is to the right of the dining table.
image1390,**Question 5:** Are there more than 4 chairs at the dining table?,"**Answer 5:** Yes, there are more than 4 chairs at the dining table."
image1129,**Questions:**,**Answers:**
image1223,**Question 1:** Where is the cabinet located?,**Answer 1:** The cabinet is located to the right of the windows.
image1223,**Question 2:** How many windows are there?,**Answer 2:** There are two windows.
image1223,**Question 3:** Is there a black cube on the floor?,"**Answer 3:** Yes, there is a black cube on the floor, near the wall."
image1223,**Question 4:** What is the position of the black mini-fridge relative to the white cabinet?,**Answer 4:** The black mini-fridge is located to the right of the white cabinet.
image1223,**Question 5:** Are there more than one cabinet in the image?,"**Answer 5:** Yes, there are more than one cabinet in the image."
image1009,**Questions:**,**Answers:**
image693,**Questions:**,**Answers:**
image1345,**Question 1:** Where is the blue chair?,**
image1345,**Question 2:** How many drawers does the writing desk have?,**
image1345,**Question 3:** Is there a stack of papers on the coffee table?,**
image1345,**Question 4:** What is the position of the coffee table relative to the wingback chair?,**
image1345,**Question 5:** Are there more than two objects on the coffee table?,**
image997,**Question 1:** Where is the teddy bear?,"**Answer 1:** The teddy bear is on the bed, resting against the pillows."
image997,**Question 2:** How many lamps are there in the image?,**Answer 2:** There are two lamps in the image.
image997,**Question 3:** Is there a trash can on the left side of the room?,"**Answer 3:** Yes, there is a trash can on the left side of the room."
image997,**Question 4:** What is the position of the left-side nightstand relative to the bed?,**Answer 4:** The left-side nightstand is to the left of the bed.
image997,**Question 5:** Are there more than 3 pillows on the bed?,"**Answer 5:** No, there are not more than 3 pillows on the bed."
image808,**Questions:**,**Answers:**
image1116,**Question 1:** How many pillows are on the bed?,**
image1116,**Question 2:** Where is the nightstand?,**
image1116,**Question 3:** Is there a painting on the wall?,**
image1116,**Question 4:** What is the position of the bed relative to the window?,**
image1116,**Question 5:** Are there more than 2 pictures on the wall?,**
image1108,**Questions:**,**Answers:**
image762,**Question 1:** Where is the trash can located?,**
image762,**Question 2:** How many sinks are visible in the image?,**
image762,**Question 3:** Is there a window above the sink?,**
image762,**Question 4:** What is the position of the cutlery relative to the sink?,**
