image_id,questions,answers
image598,Question 4: What is the position of the coffee table relative to the patterned couch?,Answer 4: The coffee table is in front of the patterned couch.
image598,Question 5: Are there more than two cushions on the patterned couch closest to the viewer?,"Answer 5: Yes, there are more than two cushions on the patterned couch closest to the viewer."
image703,Question 1: Where is the trash can?,"Answer 1: The trash can is on the floor, to the left of the toilet."
image703,Question 2: How many toilet paper rolls are visible?,Answer 2: There are three toilet paper rolls visible.
image703,Question 3: Is there a towel rack on the wall?,"Answer 3: Yes, there is a towel rack on the wall."
image703,Question 4: What is the position of the toilet relative to the wall?,Answer 4: The toilet is against the wall on the right side of the image.
image703,Question 5: Are there more than two drawers visible on the cabinet?,"Answer 5: Yes, there are more than two drawers visible on the cabinet."
image729,Question 1: Where is the towel?,Answer 1: The towel is hanging on a towel rack above the countertop.
image729,Question 2: How many drawer pulls are visible?,Answer 2: There are three drawer pulls visible on the vanity.
image729,Question 3: Is there a bathmat in the image?,"Answer 3: Yes, there is a bathmat on the floor in front of the shower curtain."
image729,Question 4: What is the position of the sink relative to the soap dispenser?,Answer 4: The sink is to the left of the soap dispenser.
image729,Question 5: Are there more than one towels in the image?,"Answer 5: Yes, there are two towels in the image."
image64,Question 1: Where is the nightstand?,"Answer 1: The nightstand is next to the bed, to the right of the image."
image64,Question 2: How many pillows are on the bed?,Answer 2: There is at least one pillow visible on the bed.
image64,Question 3: Is there a lamp on the nightstand?,"Answer 3: It's difficult to say for sure if it is a lamp, but there is a bottle like object on the nightstand."
image64,Question 4: What is the position of the bed relative to the wall?,Answer 4: The bed is pushed against the wall on the left side of the image.
image64,Question 5: Are there more than 5 pieces of paper on the nightstand?,"Answer 5: Yes, there appear to be more than 5 pieces of paper on the nightstand."
image1390,Question 1: Where is the vase of flowers?,Answer 1: The vase of flowers is on the dining table.
image1390,Question 2: How many pictures are hanging on the wall near the window?,Answer 2: There are 4 pictures hanging on the wall near the window.
image1390,Question 3: Is there a mirror on the wall in the background?,"Answer 3: Yes, there is a mirror on the wall in the background."
image1390,Question 4: What is the position of the corner cabinet relative to the dining table?,Answer 4: The corner cabinet is to the right of the dining table.
image1390,Question 5: Are there more than 4 chairs at the dining table?,"Answer 5: Yes, there are more than 4 chairs at the dining table."
image1223,Question 1: Where is the cabinet located?,Answer 1: The cabinet is located to the right of the windows.
image1223,Question 2: How many windows are there?,Answer 2: There are two windows.
image1223,Question 3: Is there a black cube on the floor?,"Answer 3: Yes, there is a black cube on the floor, near the wall."
image1223,Question 4: What is the position of the black mini-fridge relative to the white cabinet?,Answer 4: The black mini-fridge is located to the right of the white cabinet.
image1223,Question 5: Are there more than one cabinet in the image?,"Answer 5: Yes, there are more than one cabinet in the image."
image997,Question 1: Where is the teddy bear?,"Answer 1: The teddy bear is on the bed, resting against the pillows."
image997,Question 2: How many lamps are there in the image?,Answer 2: There are two lamps in the image.
image997,Question 3: Is there a trash can on the left side of the room?,"Answer 3: Yes, there is a trash can on the left side of the room."
image997,Question 4: What is the position of the left-side nightstand relative to the bed?,Answer 4: The left-side nightstand is to the left of the bed.
image997,Question 5: Are there more than 3 pillows on the bed?,"Answer 5: No, there are not more than 3 pillows on the bed."
image406,Question 1: Where is the pile of clothes?,Answer 1: The pile of clothes is on top of the dresser.
image406,Question 2: How many laundry detergent bottles are visible on the washing machine?,Answer 2: There appears to be one large blue laundry detergent bottle and possibly a white bottle on the washing machine.
image406,Question 3: Is there a blue laundry basket on the floor?,"Answer 3: Yes, there is a blue laundry basket on the floor."
image406,Question 4: What is the position of the cabinets relative to the washing machine?,Answer 4: The cabinets are above the washing machine.
image406,Question 5: Are there more than 5 garments hanging in the closet?,"Answer 5: Yes, there are more than 5 garments hanging in the closet."
image937,Question 1: Where is the white shelf with items on it?,"Answer 1: The white shelf is located behind the bed, near the wall."
image937,Question 2: How many pink storage boxes are in the image?,Answer 2: There are two pink storage boxes on the shelf.
image937,Question 3: Is there a blue towel on the green table?,"Answer 3: Yes, there is a blue towel on the green table."
image937,Question 4: What is the position of the bed relative to the green table?,Answer 4: The bed is to the left of the green table.
image937,Question 5: Are there more than one stuffed animal on the bed?,"Answer 5: Yes, there is more than one stuffed animal on the bed."
image1065,Question 1: Where is the teddy bear?,Answer 1: The teddy bear is on top of the tall dresser.
image1065,Question 2: How many drawers does the dresser with the bookshelf have?,Answer 2: The dresser with the bookshelf has three drawers.
image1065,Question 3: Is there a hanger on the closet doors?,"Answer 3: Yes, there are two hangers on the closet doors."
image1065,Question 4: What is the position of the dresser with the bookshelf relative to the bed?,Answer 4: The dresser with the bookshelf is to the right of the bed.
image1065,Question 5: Are there more than two dressers in the image?,"Answer 5: No, there are two dressers in the image."
image971,Question 1: Where is the plush toy?,Answer 1: The plush toy is on the bench.
image971,Question 2: How many pillows are visible near the bed?,Answer 2: There appear to be two pillows near the bed.
image971,Question 3: Is there a window behind the bench?,"Answer 3: Yes, there is a window behind the bench."
image971,Question 4: What is the position of the bench relative to the window?,Answer 4: The bench is positioned in front of the window.
image971,Question 5: Are there more than one object on the bench?,"Answer 5: Yes, there are more than one objects on the bench."
image1124,Question 1: Where are the teddy bears?,Answer 1: The teddy bears are located next to the bed near the window.
image1124,Question 2: How many paintings are on the wall?,Answer 2: There are three paintings on the wall.
image1124,Question 3: Is there a book on the floor?,"Answer 3: Yes, there is a book on the floor."
image1124,Question 4: What is the position of the chair relative to the desk?,Answer 4: The chair is in front of the desk.
image1124,Question 5: Are there more than 5 teddy bears in the image?,"Answer 5: Yes, there are more than 5 teddy bears in the image."
image54,Question 1: Where is the laptop?,Answer 1: The laptop is on the dining table.
image54,Question 2: How many framed pictures are on the wall?,Answer 2: There are two framed pictures on the wall.
image54,Question 3: Is there a microwave in the kitchen?,"Answer 3: Yes, there is a microwave in the kitchen, visible through the opening in the wall."
image54,Question 4: What is the position of the book relative to the laptop?,Answer 4: The book is in front of the laptop on the table.
image54,Question 5: Are there more than two chairs visible in the image?,"Answer 5: Yes, there are more than two chairs visible."
image276,Question 1: How many lights are visible on the ceiling?,Answer 1: There appear to be at least 8 lights visible on the ceiling.
image276,Question 2: Where is the conference table located?,Answer 2: The conference table is located in the center of the room.
image276,Question 3: Are there any chairs around the conference table?,"Answer 3: Yes, there are several chairs around the conference table."
image276,Question 4: What is the position of the window relative to the conference table?,Answer 4: The window is located on the right side of the conference table.
image276,Question 5: Is there more than one pillar in the room?,"Answer 5: Yes, there are at least two pillars visible in the room."
image515,Question 1: Where is the window?,Answer 1: The window is behind the bed on the left side of the image.
image515,Question 2: How many curtains are there?,Answer 2: There are two curtains.
image515,Question 3: Is there a mirror on the wall?,"Answer 3: Yes, there is a mirror leaning on the wall."
image515,Question 4: What is the position of the bed relative to the mirror?,Answer 4: The bed is to the left of the mirror.
image515,Question 5: Are there more than one pillow on the bed?,"Answer 5: Yes, there is more than one pillow on the bed."
image741,Question 1: Where is the trash can?,Answer 1: The trash can is to the right of the toilet and near the red curtain.
image741,Question 2: How many windows are in the image?,Answer 2: There are two windows in the image.
image741,Question 3: Is there a painting on the wall?,"Answer 3: Yes, there is a painting on the wall next to the mirror."
image741,Question 4: What is the position of the toilet relative to the sink?,Answer 4: The toilet is to the right of the sink.
image741,Question 5: Are there more than five objects in the basket on the sink?,"Answer 5: Yes, there are more than five objects in the basket on the sink."
image688,Question 1: Where is the trash can?,Answer 1: The trash can is to the right of the toilet and near the red curtain.
image688,Question 2: How many windows are in the image?,Answer 2: There are two windows in the image.
image688,Question 3: Is there a painting on the wall?,"Answer 3: Yes, there is a painting on the wall next to the mirror."
image688,Question 4: What is the position of the toilet relative to the sink?,Answer 4: The toilet is to the right of the sink.
image688,Question 5: Are there more than five objects in the basket on the sink?,"Answer 5: Yes, there are more than five objects in the basket on the sink."
image1183,Question 1: Where is the trash can?,Answer 1: The trash can is to the right of the toilet and near the red curtain.
image1183,Question 2: How many windows are in the image?,Answer 2: There are two windows in the image.
image1183,Question 3: Is there a painting on the wall?,"Answer 3: Yes, there is a painting on the wall next to the mirror."
image1183,Question 4: What is the position of the toilet relative to the sink?,Answer 4: The toilet is to the right of the sink.
image1183,Question 5: Are there more than five objects in the basket on the sink?,"Answer 5: Yes, there are more than five objects in the basket on the sink."
image424,Question 1: Where is the trash can?,Answer 1: The trash can is to the right of the toilet and near the red curtain.
image424,Question 2: How many windows are in the image?,Answer 2: There are two windows in the image.
image424,Question 3: Is there a painting on the wall?,"Answer 3: Yes, there is a painting on the wall next to the mirror."
image424,Question 4: What is the position of the toilet relative to the sink?,Answer 4: The toilet is to the right of the sink.
image424,Question 5: Are there more than five objects in the basket on the sink?,"Answer 5: Yes, there are more than five objects in the basket on the sink."
image612,Question 1: Where is the computer monitor?,"Answer 1: The computer monitor is on the desk, to the left of the shelves."
image612,Question 2: How many cabinets are there?,Answer 2: There are 5 cabinets.
image612,Question 3: Is there a trash can next to the desk?,"Answer 3: Yes, there is a trash can next to the desk."
image612,Question 4: What is the position of the chair relative to the desk?,Answer 4: The chair is in front of the desk.
image612,Question 5: Are there more than 2 picture frames in the image?,"Answer 5: Yes, there are more than 2 picture frames in the image."
image817,Question 1: Where is the computer monitor?,"Answer 1: The computer monitor is on the desk, to the left of the shelves."
image817,Question 2: How many cabinets are there?,Answer 2: There are 5 cabinets.
image817,Question 3: Is there a trash can next to the desk?,"Answer 3: Yes, there is a trash can next to the desk."
image817,Question 4: What is the position of the chair relative to the desk?,Answer 4: The chair is in front of the desk.
image817,Question 5: Are there more than 2 picture frames in the image?,"Answer 5: Yes, there are more than 2 picture frames in the image."
image184,Question 1: Where is the computer monitor?,"Answer 1: The computer monitor is on the desk, to the left of the shelves."
image184,Question 2: How many cabinets are there?,Answer 2: There are 5 cabinets.
image184,Question 3: Is there a trash can next to the desk?,"Answer 3: Yes, there is a trash can next to the desk."
image184,Question 4: What is the position of the chair relative to the desk?,Answer 4: The chair is in front of the desk.
image184,Question 5: Are there more than 2 picture frames in the image?,"Answer 5: Yes, there are more than 2 picture frames in the image."
image964,Question 1: Where is the television?,Answer 1: The television is on top of the dresser.
image964,Question 2: How many drawers are visible on the dresser?,Answer 2: There are six drawers visible on the dresser.
image964,Question 3: Is there a bookshelf next to the dresser?,"Answer 3: Yes, there is a bookshelf next to the dresser."
image964,Question 4: What is the position of the box relative to the television?,Answer 4: The box is to the right of the television.
image964,Question 5: Are there more than 10 books visible in the image?,"Answer 5: Yes, there are more than 10 books visible in the image."
